rnk	team	 rating 	  record  	  SOS: rank  	  top 25  wins	  top 50  wins	 best game
1. 	Clemson    	1.006750	13-0	0.584712: 20	2	9	W: #15 Texas A&M
2. 	Notre Dame    	1.001710	12-0	0.585330: 19	2	6	W: #8 Michigan
3. 	Alabama    	0.995459	13-0	0.571684: 28	4	7	W: #5 Georgia
4. 	Oklahoma    	0.914265	12-1	0.554921: 42	3	4	W: #21 Army
5. 	Georgia    	0.911318	11-2	0.628443: 5	3	7	W: #10 Kentucky
6. 	Ohio State    	0.900335	12-1	0.538847: 51	2	4	W: #8 Michigan
7. 	UCF    	0.891148	12-0	0.456340: 93	1	3	W: #19 Cincinnati
8. 	Michigan    	0.865125	10-2	0.592645: 13	1	3	W: #14 Penn St
9. 	LSU    	0.788037	9-3	0.586043: 18	1	4	W: #5 Georgia
10. 	Kentucky    	0.782613	9-3	0.579715: 24	2	5	W: #13 Florida
11. 	Washington State    	0.773559	10-2	0.485819: 79	1	3	W: #24 Utah
12. 	Washington    	0.772805	10-3	0.545545: 45	3	5	W: #11 Washington St
13. 	Florida    	0.771505	9-3	0.566755: 33	1	4	W: #9 LSU
14. 	Penn State    	0.765918	9-3	0.560238: 37	1	3	W: #18 Appalachian St
15. 	Texas A&M    	0.760699	8-4	0.637483: 3	2	4	W: #9 LSU
16. 	Fresno State    	0.751056	11-2	0.443527: 104	1	1	W: #22 Boise St
17. 	Syracuse    	0.748163	9-3	0.539523: 50	0	2	W: #28 NC State
18. 	Appalachian State    	0.740490	10-2	0.447238: 101	0	2	W: #34 Troy
19. 	Cincinnati    	0.737975	10-2	0.444304: 103	0	0	W: #52 Ohio
20. 	Missouri    	0.730836	8-4	0.602642: 11	1	2	W: #13 Florida
21. 	Army    	0.727918	9-2	0.451176: 99	0	1	W: #39 Buffalo
22. 	Boise State    	0.725600	10-3	0.491077: 77	1	3	W: #16 Fresno St
23. 	West Virginia    	0.724970	8-3	0.538601: 52	1	1	W: #25 Texas
24. 	Utah    	0.720834	9-4	0.562501: 36	0	3	W: #27 Stanford
